kepid,kepoi_name,pp_host_rel_prob,pp_host_prob_score,pp_1hi_starid,pp_1hi_rel_prob,pp_2hi_starid,pp_2hi_rel_prob,pp_unk_rel_prob
4770617,K02243.02,3.00000e-01,0.310,KIC 4770619,7.00000e-01,KIC 4770617,3.00000e-01,8.0040000e-05
4852297,K04695.01,1.20000e-07,0.310,KIC 4852305,1.00000e+00,KIC 4852304,1.60000e-07,1.1860000e-04
5024292,K03579.01,1.00000e+00,0.310,KIC 5024292,1.00000e+00,,,1.2460000e-05
8462258,K01253.01,4.50000e-35,0.310,UKIRT 44117910134518,1.10000e-14,KIC 8462259,8.90000e-18,1.0000000e+00
2849140,K03416.01,9.80000e-01,0.320,KIC 2849140,9.80000e-01,KIC 2849133,1.50000e-02,4.2170000e-04
6636320,K02989.01,9.90000e-01,0.320,KIC 6636320,9.90000e-01,UKIRT 44117913585276,1.30000e-02,5.6470000e-04
8231667,K03494.01,1.00000e+00,0.320,KIC 8231667,1.00000e+00,UKIRT 44117911229765,2.10000e-03,6.6570000e-05
8652360,K04562.02,1.20000e-26,0.320,KIC 8652356,4.80000e-21,KIC 8652360,1.20000e-26,1.0000000e+00
8652360,K04562.01,4.10000e-25,0.320,KIC 8652356,2.50000e-21,KIC 8652360,4.10000e-25,1.0000000e+00
11092783,K07408.01,1.00000e+00,0.320,KIC 11092783,1.00000e+00,KIC 11038716,5.50000e-08,2.1490000e-04
1164301,K04921.01,1.00000e+00,0.330,KIC 1164301,1.00000e+00,KIC 1164300,6.90000e-05,2.4960000e-04
2161949,K06259.01,9.70000e-01,0.330,KIC 2161949,9.70000e-01,UKIRT 44117921360565,2.60000e-02,3.6180000e-04
2555080,K04943.01,9.90000e-01,0.330,KIC 2555080,9.90000e-01,UKIRT 44117921515405,4.40000e-03,8.3000000e-05
2558163,K04655.01,6.60000e-01,0.330,KIC 2558163,6.60000e-01,UKIRT 44117921502190,2.90000e-01,1.9870000e-04
2857607,K04659.01,8.50000e-01,0.330,KIC 2857607,8.50000e-01,UKIRT 44117921328348,7.70000e-02,4.0250000e-04
3001955,K04961.01,2.10000e-06,0.330,KIC 3001963,9.60000e-01,KIC 3001964,3.30000e-02,6.6090000e-03
3098843,K03376.01,1.30000e-95,0.330,KIC 3098843,1.30000e-95,UKIRT 44117920655277,1.30000e-95,1.0000000e+00
3102309,K07643.01,6.40000e-01,0.330,KIC 3102309,6.40000e-01,UKIRT 44117920724152,3.60000e-01,9.1150000e-05
3230805,K03068.01,1.00000e+00,0.330,KIC 3230805,1.00000e+00,,,1.6140000e-04
3233043,K00966.02,1.00000e+00,0.330,KIC 3233043,1.00000e+00,UKIRT 44117920172146,3.80000e-10,5.3370000e-05
3240158,K01106.02,7.50000e-01,0.330,KIC 3240158,7.50000e-01,UKIRT 44117919997896,2.50000e-01,3.2500000e-04
